"Date","Hour","DUSMASS25","OCSMASS","BCSMASS","SSSMASS25","SO4SMASS"
2023-09-28,18,5.18684151185056e-10,9.9386621155162e-10,2.83250978228011e-10,8.95136909040417e-10,1.85318183021366e-09
2023-09-28,19,5.0253129435518e-10,9.76691727494483e-10,2.87139118038127e-10,7.26512960902426e-10,1.94410976206427e-09
2023-09-28,20,4.87934748161223e-10,9.80073688872096e-10,2.96701191393467e-10,6.93496982062669e-10,2.02284344830161e-09
2023-09-28,21,4.79149109278154e-10,1.02653219258286e-09,3.22413151732093e-10,7.03253233425016e-10,2.10329775818252e-09
2023-09-28,22,4.77286155042833e-10,1.27374033542793e-09,4.49924653089795e-10,7.91634202634839e-10,2.12555861800467e-09
2023-09-28,23,4.73120376209835e-10,1.64505897792822e-09,6.50114628797382e-10,9.23680687492379e-10,1.99181293680795e-09
2023-09-29,0,4.80838535654726e-10,1.93052374086733e-09,8.05633004752337e-10,9.8669139525498e-10,1.90221305373939e-09
2023-09-29,1,5.06108654985127e-10,2.14472284376654e-09,9.1025492698904e-10,9.86612236353324e-10,1.85846960043534e-09
2023-09-29,2,5.46650280597305e-10,2.31347718759878e-09,9.81993153459371e-10,9.68994884331664e-10,1.80415871131601e-09
2023-09-29,3,6.08254724365764e-10,2.43824138657089e-09,1.02379615896098e-09,9.41482336536126e-10,1.7203094504481e-09
2023-09-29,4,7.02001901053961e-10,2.53077536704893e-09,1.04518205201742e-09,9.02060481866584e-10,1.59978330582788e-09
2023-09-29,5,8.14817047167793e-10,2.58963650523469e-09,1.05456277044169e-09,8.49690928728108e-10,1.46936374179063e-09
2023-09-29,6,9.08236430507969e-10,2.62751198576439e-09,1.06045416892186e-09,8.01680111184311e-10,1.37446698467159e-09
2023-09-29,7,9.80986403220641e-10,2.62727528621554e-09,1.05104702718961e-09,7.61896656875649e-10,1.33367339394397e-09
2023-09-29,8,1.04210629015e-09,2.59843213612498e-09,1.02861730244541e-09,7.2348166346714e-10,1.31432764671757e-09
2023-09-29,9,1.09716136176274e-09,2.54777954289409e-09,9.98759186465747e-10,6.82520151507049e-10,1.30678390330985e-09
2023-09-29,10,1.13052811556713e-09,2.50195530959729e-09,9.74846758872161e-10,6.47786657648197e-10,1.32883326564581e-09
2023-09-29,11,1.14471743195566e-09,2.47929432539706e-09,9.68229829645395e-10,6.17743911579538e-10,1.36688194096735e-09
2023-09-29,12,1.01480135406007e-09,1.88932647304796e-09,6.8118927165628e-10,5.78551928587245e-10,1.64631974719498e-09
2023-09-29,13,8.17178102963112e-10,1.31146271620253e-09,4.2704859093412e-10,6.04725602926237e-10,1.79242254372269e-09
2023-09-29,14,7.03748226360545e-10,1.07161113316323e-09,3.38126082688461e-10,6.0661659029293e-10,1.82099058054774e-09
2023-09-29,15,6.33779584369165e-10,9.63996549252499e-10,3.17983167574809e-10,5.84608139675424e-10,1.97106087007626e-09
2023-09-29,16,5.66169722215903e-10,9.28153220947081e-10,3.17970066943118e-10,6.125844831395e-10,2.16910178707508e-09
2023-09-29,17,5.19047360647562e-10,9.39662125887253e-10,3.28188254350437e-10,6.78212874749562e-10,2.37746777820291e-09
2023-09-29,18,5.47672407424926e-10,1.01451902434491e-09,3.37325861687887e-10,8.30895630077322e-10,2.45283593436341e-09
2023-09-29,19,4.80234907396238e-10,9.80199366118484e-10,3.43671563429737e-10,8.0994727591488e-10,2.53834731012148e-09
2023-09-29,20,4.3901457469353e-10,9.82315118136512e-10,3.53421625298722e-10,8.38544511605477e-10,2.57899324118682e-09
2023-09-29,21,3.97485933056885e-10,9.94590854119792e-10,3.81717296660256e-10,8.24042001301706e-10,2.70162803239771e-09
2023-09-29,22,4.16735701502802e-10,1.27240051828181e-09,5.21632625982704e-10,9.33708443895398e-10,2.81486167708067e-09
2023-09-29,23,4.42148900825501e-10,1.68148006629565e-09,7.28664184546091e-10,1.00512986822565e-09,2.77781975199787e-09
2023-09-30,0,4.57170634682313e-10,1.95974902972296e-09,8.69748773002499e-10,9.52617540406209e-10,2.6621289617168e-09
2023-09-30,1,4.63413252216327e-10,2.10242911968805e-09,9.4138286055312e-10,8.56158532958062e-10,2.52955767443552e-09
2023-09-30,2,4.67444305485287e-10,2.18625384462712e-09,9.83224057726773e-10,7.78051456595819e-10,2.38705299970832e-09
2023-09-30,3,4.74599359812089e-10,2.27079022252497e-09,1.02380703914662e-09,7.21194881592169e-10,2.25929408514958e-09
2023-09-30,4,4.8362586158035e-10,2.36115837992656e-09,1.06752329198656e-09,6.78412881427448e-10,2.17432094551384e-09
2023-09-30,5,4.92280272101908e-10,2.46117903834886e-09,1.1175420588927e-09,6.43732012139964e-10,2.14285722499596e-09
2023-09-30,6,4.92027363296899e-10,2.54271936839245e-09,1.1648406683662e-09,6.06131811409227e-10,2.14759121597297e-09
2023-09-30,7,4.84766116137791e-10,2.59631893761991e-09,1.20517951174293e-09,5.62824120642347e-10,2.14699791278861e-09
2023-09-30,8,4.7535547720301e-10,2.62830557318239e-09,1.2337668664486e-09,5.19180032299005e-10,2.13516582192597e-09
2023-09-30,9,4.67118621561013e-10,2.62446353538337e-09,1.23900978366009e-09,4.73510397558385e-10,2.12153872247711e-09
2023-09-30,10,4.57715726431829e-10,2.53980503295281e-09,1.19839360657181e-09,4.19488471736784e-10,2.07817074659999e-09
2023-09-30,11,4.47706344219867e-10,2.44291431528154e-09,1.14255660488283e-09,3.73684222454429e-10,2.09095540881776e-09
2023-09-30,12,4.26082585880394e-10,1.89518845061798e-09,8.23025314566905e-10,4.19451834376972e-10,2.39952413494393e-09
