level,outcome,population,mean_B_minus_fine,mean_absolute_B_minus_fine,rmse_B_minus_fine,mean_B_minus_A,mean_absolute_B_minus_A,rmse_B_minus_A,city_id
fine,avg_pm25,1429271,7.30566895526639e-17,5.94498158743189e-16,2.35483380880378e-15,5.51871192354205e-17,9.92334102385577e-16,2.68920671091581e-15,santiago_2017
distrito,hrs_d_pm10_it1,1251147,0.129212634486595,2.18187471176448,10.8660133417148,0.129212634486596,1.74489648298721,6.69084782977456,santiago_2017
distrito,hrs_d_pm10_it2,1251147,-4.47620783169364,11.6671406317563,26.7292106437167,-4.47620783169363,10.6149413298358,20.2782059647226,santiago_2017
distrito,avg_pm10,1251147,0.00459052975648947,0.089657943804515,0.483650483370442,0.00459052975648868,0.0677457236673483,0.360303758057167,santiago_2017
distrito,hrs_d_pm25_it1,1251147,-0.0556169658721158,0.885885511454689,4.49005396933349,-0.0556169658721154,0.701680138305092,2.79680723679481,santiago_2017
distrito,hrs_d_pm25_it2,1251147,-4.30853928435268,10.2799319344569,21.3982072872183,-4.30853928435267,9.66298444547284,17.7890057487752,santiago_2017
distrito,avg_pm25,1251147,0.00925118227527627,0.0190633134305418,0.146867527932328,0.00925118227527638,0.0142494550990156,0.129557408240061,santiago_2017
comuna,hrs_d_pm10_it1,971812,-0.717557511123551,11.336841899462,27.2894581111935,-0.717557511123551,8.1365418414261,14.815491002253,santiago_2017
comuna,hrs_d_pm10_it2,971812,2.47310590937342,19.5686017460167,41.6498580615902,2.47310590937342,12.5351714117546,21.249133606925,santiago_2017
comuna,avg_pm10,971812,-0.131903451980177,0.439405827810607,1.04792925834994,-0.13190345198018,0.315227755404777,0.510923061464613,santiago_2017
comuna,hrs_d_pm25_it1,971812,3.40037579284882,6.34247776318877,20.201970997708,3.40037579284883,4.89813873465238,10.8228245315371,santiago_2017
comuna,hrs_d_pm25_it2,971812,10.4635248381374,16.1743577975987,52.8591481684788,10.4635248381374,14.7168372071965,25.8162534379806,santiago_2017
comuna,avg_pm25,971812,0.0264847124155513,0.122292563646295,0.445735994674584,0.0264847124155532,0.104405315132138,0.19997700273536,santiago_2017
fine,hrs_d_pm10_it1,3211384.78869041,0,0,0,-2.33018672326239e-17,6.45852307909839e-17,3.68581831139715e-16,sao_paulo_2010
fine,hrs_d_pm10_it2,3211384.78869041,0,0,0,-6.14890848148603e-16,7.81983818884322e-16,3.73150009271722e-15,sao_paulo_2010
fine,avg_pm10,3211384.78869041,-3.98341584178661e-18,1.96281378094843e-16,1.10900584187816e-15,-8.22375891999561e-17,6.97244035335379e-16,1.73484029301449e-15,sao_paulo_2010
fine,hrs_d_pm25_it1,2856619.31561217,0,0,0,-9.00365916274646e-17,4.02638312039314e-16,1.48324956381407e-15,sao_paulo_2010
fine,hrs_d_pm25_it2,2856619.31561217,0,0,0,-3.32359605788113e-16,1.83301134024391e-15,8.46475711456139e-15,sao_paulo_2010
fine,avg_pm25,2856619.31561217,1.02184596916241e-16,1.75126024653017e-16,8.00584136775263e-16,4.32820223844705e-17,4.50014830901854e-16,1.07938196284952e-15,sao_paulo_2010
municipio,hrs_d_pm10_it1,746182.288595823,0.574065515848296,0.574065515848296,2.5165953760345,0.559574595512223,0.559574595512223,0.928144679632835,sao_paulo_2010
municipio,hrs_d_pm10_it2,746182.288595823,6.43847076050255,7.71350037182693,23.3241760493777,6.41149413776931,6.41149413776931,9.5289183145957,sao_paulo_2010
municipio,avg_pm10,746182.288595823,0.19422525980089,0.213407170659952,0.753940264305937,0.193881205622568,0.193881205622568,0.328045323396141,sao_paulo_2010
municipio,hrs_d_pm25_it1,498064.977619388,2.54139846737434,2.54139846737434,10.4135330052703,2.62233650989269,2.62233650989269,4.38838113122957,sao_paulo_2010
municipio,hrs_d_pm25_it2,498064.977619388,7.27939331382927,21.1540925645144,71.8331116359451,7.68148053715095,7.68148053715095,12.1849272182029,sao_paulo_2010
municipio,avg_pm25,498064.977619388,0.313426593766642,0.313426593766642,1.57829119361031,0.322416884026082,0.322416884026082,0.539552481122187,sao_paulo_2010
