gap,normalized_pct,q1,q5,population,n_units,n_clusters,effective_clusters,max_cluster_share,populated_groups,n_cells,se,lower,upper,inference_status,design,level,outcome,standardized_gap,city_id
25.1616290971272,2667.23895373146,26.1049877362895,0.943358639162276,4251366,37285,2833,1249.19753113028,0.00761237682194382,5,2833,,,,descriptive,C,seccion,hrs_d_pm25_it1,0.985362902434637,bogota_2018
89.0732556570008,185.580472429451,137.07036143593,47.9971057789295,4251366,37285,2833,1249.19753113028,0.00761237682194382,5,13933,3.74582216822448,81.7284400467762,96.4180712672253,conditional_cluster_HC1,A,seccion,hrs_d_pm25_it2,0.681728167271188,bogota_2018
88.0025969391258,185.915274965206,135.337382612651,47.3347856735256,4228451,37222,2713,1232.46770846148,0.00765363013547987,5,13368,3.77625389965167,80.5979706422825,95.4072232359691,conditional_cluster_HC1,B_native,seccion,hrs_d_pm25_it2,0.673533808592748,bogota_2018
88.0100207475155,184.156718566352,135.800848816493,47.7908280689773,4150804,36494,2712,1213.75747068171,0.00779680273990292,5,13352,,,,descriptive,B_common,seccion,hrs_d_pm25_it2,0.673590627210754,bogota_2018
89.0127529980209,185.234313996654,137.066891066429,48.0541380684082,4150804,36494,36494,10281.0708315048,0.00112411956816077,5,157828,,,,descriptive,baseline_common,seccion,hrs_d_pm25_it2,0.681265106091745,bogota_2018
88.7496637384987,184.173702470473,136.937685452797,48.1880217142984,4150804,36494,2712,1213.75747068171,0.00779680273990292,5,13352,,,,descriptive,A_common,seccion,hrs_d_pm25_it2,0.679251534707159,bogota_2018
154.648508097902,460.11835158724,188.259101451638,33.6105933537363,4251366,37285,2833,1249.19753113028,0.00761237682194382,5,2833,,,,descriptive,C,seccion,hrs_d_pm25_it2,1.18361278275024,bogota_2018
2.9554053644014,21.8805261456908,16.4624176945571,13.5070123301557,4251366,37285,2833,1249.19753113028,0.00761237682194382,5,13933,0.173896186220337,2.61442937415169,3.29638135465111,conditional_cluster_HC1,A,seccion,avg_pm25,0.690283104385337,bogota_2018
2.92724196944617,21.716162058268,16.4067967894549,13.4795548200087,4228451,37222,2713,1232.46770846148,0.00765363013547987,5,13368,0.171069627394486,2.59180195527942,3.26268198361292,conditional_cluster_HC1,B_native,seccion,avg_pm25,0.683705084349949,bogota_2018
2.92816588378103,21.6854929695306,16.4310449186053,13.5028790348242,4150804,36494,2712,1213.75747068171,0.00779680273990292,5,13352,,,,descriptive,B_common,seccion,avg_pm25,0.683920879605293,bogota_2018
2.95249468374409,21.8644607152366,16.4561192286047,13.5036245448606,4150804,36494,36494,10281.0708315048,0.00112411956816077,5,157828,,,,descriptive,baseline_common,seccion,avg_pm25,0.689603267465434,bogota_2018
2.95239054280399,21.8636789266936,16.4560216229302,13.5036310801262,4150804,36494,2712,1213.75747068171,0.00779680273990292,5,13352,,,,descriptive,A_common,seccion,avg_pm25,0.689578943651079,bogota_2018
4.11771884418877,31.3572193877844,17.2493642023638,13.1316453581751,4251366,37285,2833,1249.19753113028,0.00761237682194382,5,2833,,,,descriptive,C,seccion,avg_pm25,0.961760366611616,bogota_2018
16.7035919757953,169.018287013405,26.586304829506,9.88271285371065,4255038,37375,749,311.089309211585,0.0112346822754579,5,3708,3.78602283121991,9.27109714278111,24.1360868088096,conditional_cluster_HC1,A,sector,hrs_d_pm10_it1,0.209151554226014,bogota_2018
14.3271601387769,176.973269459656,22.422823502245,8.09566336346804,4100522,35877,675,291.782113862303,0.0116580279291271,5,3346,3.4573662456501,7.53865644753734,21.1156638300165,conditional_cluster_HC1,B_native,sector,hrs_d_pm10_it1,0.17939541477141,bogota_2018
14.7202715556292,176.408490705356,23.0646950563186,8.34442350068943,3973908,34748,674,287.262541122227,0.0120294682212069,5,3339,,,,descriptive,B_common,sector,hrs_d_pm10_it1,0.184317701183685,bogota_2018
15.5165565069673,175.810636364076,24.3422776509571,8.82572114398981,3973908,34748,34748,9798.38008587574,0.0011741590394141,5,150153,,,,descriptive,baseline_common,sector,hrs_d_pm10_it1,0.194288265324648,bogota_2018
15.6923341814815,179.697719200903,24.424962648478,8.7326284669965,3973908,34748,674,287.262541122227,0.0120294682212069,5,3339,,,,descriptive,A_common,sector,hrs_d_pm10_it1,0.196489239455012,bogota_2018
45.1505077999504,3606.76999862585,46.4023344431007,1.25182664315031,4255038,37375,749,311.089309211585,0.0112346822754579,5,749,,,,descriptive,C,sector,hrs_d_pm10_it1,0.565345399608503,bogota_2018
93.4484184361521,185.488742652994,143.827981691359,50.3795632552064,4255038,37375,749,311.089309211585,0.0112346822754579,5,3708,10.2874228254245,73.2527618319464,113.644075040358,conditional_cluster_HC1,A,sector,hrs_d_pm10_it2,0.485284225264617,bogota_2018
88.3815360990415,184.077788713746,136.39468136584,48.0131452667986,4100522,35877,675,291.782113862303,0.0116580279291271,5,3346,10.19949644976,68.354927872304,108.408144325779,conditional_cluster_HC1,B_native,sector,hrs_d_pm10_it2,0.458971548061292,bogota_2018
89.83879461008,182.988614964089,138.934086482588,49.0952918725084,3973908,34748,674,287.262541122227,0.0120294682212069,5,3339,,,,descriptive,B_common,sector,hrs_d_pm10_it2,0.466539194249148,bogota_2018
93.7963759775512,194.31891084969,142.06567491887,48.2692989413186,3973908,34748,34748,9798.38008587574,0.0011741590394141,5,150153,,,,descriptive,baseline_common,sector,hrs_d_pm10_it2,0.487091193308899,bogota_2018
92.7919468626457,190.651524300612,141.462917211844,48.6709703491984,3973908,34748,674,287.262541122227,0.0120294682212069,5,3339,,,,descriptive,A_common,sector,hrs_d_pm10_it2,0.481875122100661,bogota_2018
189.2880336463,675.786631592433,217.2980629658,28.0100293194997,4255038,37375,749,311.089309211585,0.0112346822754579,5,749,,,,descriptive,C,sector,hrs_d_pm10_it2,0.982986103961395,bogota_2018
7.23803925656206,26.3637562260242,34.6925460973485,27.4545068407864,4255038,37375,749,311.089309211585,0.0112346822754579,5,3708,0.685552427729317,5.89220350648638,8.58387500663775,conditional_cluster_HC1,A,sector,avg_pm10,0.682609675576438,bogota_2018
6.87588189082237,25.2903733463281,34.0636256092071,27.1877437183848,4100522,35877,675,291.782113862303,0.0116580279291271,5,3346,0.711137213835303,5.47957115655388,8.27219262509087,conditional_cluster_HC1,B_native,sector,avg_pm10,0.648455105095066,bogota_2018
6.93878359187032,25.4164081339889,34.2391934503004,27.3004098584301,3973908,34748,674,287.262541122227,0.0120294682212069,5,3339,,,,descriptive,B_common,sector,avg_pm10,0.654387279296335,bogota_2018
7.13599115287401,26.0912014955445,34.4861733746188,27.3501822217448,3973908,34748,34748,9798.38008587574,0.0011741590394141,5,150153,,,,descriptive,baseline_common,sector,avg_pm10,0.67298565718105,bogota_2018
7.11142702507102,25.9863114575379,34.4774771730161,27.3660501479451,3973908,34748,674,287.262541122227,0.0120294682212069,5,3339,,,,descriptive,A_common,sector,avg_pm10,0.670669047569515,bogota_2018
13.0334627743655,50.4233295845954,38.8815431802801,25.8480804059145,4255038,37375,749,311.089309211585,0.0112346822754579,5,749,,,,descriptive,C,sector,avg_pm10,1.2291682154088,bogota_2018
10.8179879022683,295.822669947595,14.4749043597476,3.6569164574793,4251366,37285,743,310.574387517453,0.0112443859220778,5,3678,1.5648186418379,7.74598875974744,13.8899870447891,conditional_cluster_HC1,A,sector,hrs_d_pm25_it1,0.423646812244718,bogota_2018
9.83355753556159,332.328978534865,12.792540402152,2.95898286659042,4096457,35813,669,291.232096552045,0.0116695964341869,5,3316,1.61630841629154,6.65990101129412,13.0072140598291,conditional_cluster_HC1,B_native,sector,hrs_d_pm25_it1,0.385095208147921,bogota_2018
10.0607737622416,330.522025661101,13.104677944457,3.04390418221548,3971949,34689,669,286.985370652204,0.0120354012601874,5,3314,,,,descriptive,B_common,sector,hrs_d_pm25_it1,0.393993298161781,bogota_2018
10.1944546737593,305.401495459655,13.532504691627,3.33805001786771,3971949,34689,34689,9789.49022713913,0.00117473814492583,5,149910,,,,descriptive,baseline_common,sector,hrs_d_pm25_it1,0.399228420675698,bogota_2018
