individual_quintile,area_quintile,population,level,outcome,city_id
5,2,38045,seccion,hrs_d_pm10_it1,bogota_2018
3,2,152679,seccion,hrs_d_pm10_it1,bogota_2018
1,3,176734,seccion,hrs_d_pm10_it1,bogota_2018
2,3,209105,seccion,hrs_d_pm10_it1,bogota_2018
4,3,217867,seccion,hrs_d_pm10_it1,bogota_2018
5,3,98309,seccion,hrs_d_pm10_it1,bogota_2018
3,3,200628,seccion,hrs_d_pm10_it1,bogota_2018
1,1,233669,seccion,hrs_d_pm10_it1,bogota_2018
2,1,250291,seccion,hrs_d_pm10_it1,bogota_2018
3,1,96020,seccion,hrs_d_pm10_it1,bogota_2018
4,1,84344,seccion,hrs_d_pm10_it1,bogota_2018
5,1,13687,seccion,hrs_d_pm10_it1,bogota_2018
1,5,67799,seccion,hrs_d_pm10_it1,bogota_2018
2,5,41323,seccion,hrs_d_pm10_it1,bogota_2018
3,5,125442,seccion,hrs_d_pm10_it1,bogota_2018
4,5,178508,seccion,hrs_d_pm10_it1,bogota_2018
5,5,555743,seccion,hrs_d_pm10_it1,bogota_2018
1,4,136079,seccion,hrs_d_pm10_it2,bogota_2018
2,4,160813,seccion,hrs_d_pm10_it2,bogota_2018
3,4,186793,seccion,hrs_d_pm10_it2,bogota_2018
4,4,298351,seccion,hrs_d_pm10_it2,bogota_2018
5,4,193646,seccion,hrs_d_pm10_it2,bogota_2018
1,2,191122,seccion,hrs_d_pm10_it2,bogota_2018
2,2,211654,seccion,hrs_d_pm10_it2,bogota_2018
4,2,136387,seccion,hrs_d_pm10_it2,bogota_2018
5,2,38045,seccion,hrs_d_pm10_it2,bogota_2018
3,2,152679,seccion,hrs_d_pm10_it2,bogota_2018
1,3,176734,seccion,hrs_d_pm10_it2,bogota_2018
2,3,209105,seccion,hrs_d_pm10_it2,bogota_2018
4,3,217867,seccion,hrs_d_pm10_it2,bogota_2018
5,3,98309,seccion,hrs_d_pm10_it2,bogota_2018
3,3,200628,seccion,hrs_d_pm10_it2,bogota_2018
1,1,233669,seccion,hrs_d_pm10_it2,bogota_2018
2,1,250291,seccion,hrs_d_pm10_it2,bogota_2018
3,1,96020,seccion,hrs_d_pm10_it2,bogota_2018
4,1,84344,seccion,hrs_d_pm10_it2,bogota_2018
5,1,13687,seccion,hrs_d_pm10_it2,bogota_2018
1,5,67799,seccion,hrs_d_pm10_it2,bogota_2018
2,5,41323,seccion,hrs_d_pm10_it2,bogota_2018
3,5,125442,seccion,hrs_d_pm10_it2,bogota_2018
4,5,178508,seccion,hrs_d_pm10_it2,bogota_2018
5,5,555743,seccion,hrs_d_pm10_it2,bogota_2018
1,4,136079,seccion,avg_pm10,bogota_2018
2,4,160813,seccion,avg_pm10,bogota_2018
3,4,186793,seccion,avg_pm10,bogota_2018
4,4,298351,seccion,avg_pm10,bogota_2018
5,4,193646,seccion,avg_pm10,bogota_2018
1,2,191122,seccion,avg_pm10,bogota_2018
2,2,211654,seccion,avg_pm10,bogota_2018
4,2,136387,seccion,avg_pm10,bogota_2018
5,2,38045,seccion,avg_pm10,bogota_2018
3,2,152679,seccion,avg_pm10,bogota_2018
1,3,176734,seccion,avg_pm10,bogota_2018
2,3,209105,seccion,avg_pm10,bogota_2018
4,3,217867,seccion,avg_pm10,bogota_2018
5,3,98309,seccion,avg_pm10,bogota_2018
3,3,200628,seccion,avg_pm10,bogota_2018
1,1,233669,seccion,avg_pm10,bogota_2018
2,1,250291,seccion,avg_pm10,bogota_2018
3,1,96020,seccion,avg_pm10,bogota_2018
4,1,84344,seccion,avg_pm10,bogota_2018
5,1,13687,seccion,avg_pm10,bogota_2018
1,5,67799,seccion,avg_pm10,bogota_2018
2,5,41323,seccion,avg_pm10,bogota_2018
3,5,125442,seccion,avg_pm10,bogota_2018
4,5,178508,seccion,avg_pm10,bogota_2018
5,5,555743,seccion,avg_pm10,bogota_2018
1,4,136079,seccion,hrs_d_pm25_it1,bogota_2018
2,4,160813,seccion,hrs_d_pm25_it1,bogota_2018
3,4,186793,seccion,hrs_d_pm25_it1,bogota_2018
4,4,298351,seccion,hrs_d_pm25_it1,bogota_2018
5,4,193646,seccion,hrs_d_pm25_it1,bogota_2018
1,2,191101,seccion,hrs_d_pm25_it1,bogota_2018
2,2,211635,seccion,hrs_d_pm25_it1,bogota_2018
4,2,136367,seccion,hrs_d_pm25_it1,bogota_2018
5,2,38037,seccion,hrs_d_pm25_it1,bogota_2018
3,2,152656,seccion,hrs_d_pm25_it1,bogota_2018
1,3,176658,seccion,hrs_d_pm25_it1,bogota_2018
2,3,209068,seccion,hrs_d_pm25_it1,bogota_2018
4,3,217822,seccion,hrs_d_pm25_it1,bogota_2018
5,3,98260,seccion,hrs_d_pm25_it1,bogota_2018
3,3,200510,seccion,hrs_d_pm25_it1,bogota_2018
1,1,232628,seccion,hrs_d_pm25_it1,bogota_2018
2,1,249572,seccion,hrs_d_pm25_it1,bogota_2018
3,1,94959,seccion,hrs_d_pm25_it1,bogota_2018
4,1,84071,seccion,hrs_d_pm25_it1,bogota_2018
5,1,13525,seccion,hrs_d_pm25_it1,bogota_2018
1,5,67799,seccion,hrs_d_pm25_it1,bogota_2018
2,5,41323,seccion,hrs_d_pm25_it1,bogota_2018
3,5,125442,seccion,hrs_d_pm25_it1,bogota_2018
4,5,178508,seccion,hrs_d_pm25_it1,bogota_2018
5,5,555743,seccion,hrs_d_pm25_it1,bogota_2018
1,4,136079,seccion,hrs_d_pm25_it2,bogota_2018
2,4,160813,seccion,hrs_d_pm25_it2,bogota_2018
3,4,186793,seccion,hrs_d_pm25_it2,bogota_2018
4,4,298351,seccion,hrs_d_pm25_it2,bogota_2018
5,4,193646,seccion,hrs_d_pm25_it2,bogota_2018
1,2,191101,seccion,hrs_d_pm25_it2,bogota_2018
2,2,211635,seccion,hrs_d_pm25_it2,bogota_2018
4,2,136367,seccion,hrs_d_pm25_it2,bogota_2018
5,2,38037,seccion,hrs_d_pm25_it2,bogota_2018
3,2,152656,seccion,hrs_d_pm25_it2,bogota_2018
1,3,176658,seccion,hrs_d_pm25_it2,bogota_2018
2,3,209068,seccion,hrs_d_pm25_it2,bogota_2018
4,3,217822,seccion,hrs_d_pm25_it2,bogota_2018
5,3,98260,seccion,hrs_d_pm25_it2,bogota_2018
3,3,200510,seccion,hrs_d_pm25_it2,bogota_2018
1,1,232628,seccion,hrs_d_pm25_it2,bogota_2018
2,1,249572,seccion,hrs_d_pm25_it2,bogota_2018
3,1,94959,seccion,hrs_d_pm25_it2,bogota_2018
4,1,84071,seccion,hrs_d_pm25_it2,bogota_2018
5,1,13525,seccion,hrs_d_pm25_it2,bogota_2018
1,5,67799,seccion,hrs_d_pm25_it2,bogota_2018
2,5,41323,seccion,hrs_d_pm25_it2,bogota_2018
3,5,125442,seccion,hrs_d_pm25_it2,bogota_2018
4,5,178508,seccion,hrs_d_pm25_it2,bogota_2018
5,5,555743,seccion,hrs_d_pm25_it2,bogota_2018
1,4,136079,seccion,avg_pm25,bogota_2018
2,4,160813,seccion,avg_pm25,bogota_2018
3,4,186793,seccion,avg_pm25,bogota_2018
4,4,298351,seccion,avg_pm25,bogota_2018
5,4,193646,seccion,avg_pm25,bogota_2018
1,2,191101,seccion,avg_pm25,bogota_2018
2,2,211635,seccion,avg_pm25,bogota_2018
4,2,136367,seccion,avg_pm25,bogota_2018
5,2,38037,seccion,avg_pm25,bogota_2018
3,2,152656,seccion,avg_pm25,bogota_2018
1,3,176658,seccion,avg_pm25,bogota_2018
2,3,209068,seccion,avg_pm25,bogota_2018
4,3,217822,seccion,avg_pm25,bogota_2018
5,3,98260,seccion,avg_pm25,bogota_2018
