level,outcome,native_change,native_selection,procedure_common,baseline_selection,aggregation_common,additional_B_common,reconciliation_error,population_fine,population_native,population_common,city_id
municipio,hrs_d_pm25_it1,-10.7500902982647,0.0652736689583943,-0.210277439650251,-10.6050865275728,-0.0388355191627894,-0.171441920487462,0,4251366,224520,126498,bogota_2018
municipio,hrs_d_pm25_it2,-92.1936863889407,-5.24787773586439,-3.5442663417824,-83.4015423112939,-3.9534057857666,0.409139443984195,0,4251366,224520,126498,bogota_2018
municipio,avg_pm25,-3.49302590472455,-0.867766588938437,-0.274121532501841,-2.35113778328427,-0.2073690541259,-0.0667524783759408,0,4251366,224520,126498,bogota_2018
fine,hrs_d_pm10_it1,0,0,0,0,0,0,0,1429271,1429271,1429271,santiago_2017
fine,hrs_d_pm10_it2,0,0,0,0,0,0,0,1429271,1429271,1429271,santiago_2017
fine,avg_pm10,0,0,0,0,0,0,0,1429271,1429271,1429271,santiago_2017
fine,hrs_d_pm25_it1,0,0,0,0,0,0,0,1429271,1429271,1429271,santiago_2017
fine,hrs_d_pm25_it2,0,0,0,0,0,0,0,1429271,1429271,1429271,santiago_2017
fine,avg_pm25,0,0,0,0,3.5527136788005e-15,-3.5527136788005e-15,0,1429271,1429271,1429271,santiago_2017
distrito,hrs_d_pm10_it1,18.3804570039109,13.6944712716488,0.49518199847995,4.19080373378216,0.228756927333279,0.266425071146671,0,1429271,1404378,1251147,santiago_2017
distrito,hrs_d_pm10_it2,37.9803459739974,37.720164006337,1.55168250145402,-1.29150053379362,0.869706426238963,0.681976075215061,0,1429271,1404378,1251147,santiago_2017
distrito,avg_pm10,0.65212028548244,0.686633202277548,0.0185134149033956,-0.0530263316985042,0.00901441736876052,0.00949899753463512,0,1429271,1404378,1251147,santiago_2017
distrito,hrs_d_pm25_it1,11.3946474678883,1.67534649663494,-0.0276100027124642,9.74691097396587,0.0222265610871375,-0.0498365637996017,0,1429271,1404378,1251147,santiago_2017
distrito,hrs_d_pm25_it2,26.6484559618432,15.4699421550768,1.55089133090007,9.62762247586636,0.637460583432812,0.91343074746726,0,1429271,1404378,1251147,santiago_2017
distrito,avg_pm25,0.263006187172604,0.155226640251087,0.00888987609921088,0.0988896708223059,3.10483580037158e-05,0.00885882774120717,0,1429271,1404378,1251147,santiago_2017
comuna,hrs_d_pm10_it1,92.047815963538,101.182038988708,-2.51462601602367,-6.61959700914593,-0.140346918899468,-2.3742790971242,0,1429271,1449393,971812,santiago_2017
comuna,hrs_d_pm10_it2,222.433313080944,259.992321987008,-1.58630189983637,-35.9727070062284,-1.33297543581352,-0.253326464022848,0,1429271,1449393,971812,santiago_2017
comuna,avg_pm10,3.65796188095053,4.50136215050909,-0.155643765211835,-0.687756504346723,-0.0381029177783319,-0.117540847433503,0,1429271,1449393,971812,santiago_2017
comuna,hrs_d_pm25_it1,42.1062024751407,25.5781462547006,1.79153718665287,14.7365190337872,-0.185860898980422,1.9773980856333,0,1429271,1449393,971812,santiago_2017
comuna,hrs_d_pm25_it2,135.904606071498,127.767408115774,4.95765464991121,3.17954330581313,2.21188448177611,2.7457701681351,0,1429271,1449393,971812,santiago_2017
comuna,avg_pm25,1.21845163035901,1.17519390872328,-0.0016050982632656,0.0448628198989987,0.0204841584150728,-0.0220892566783384,0,1429271,1449393,971812,santiago_2017
fine,hrs_d_pm10_it1,0,0,0,0,0,0,0,3211384.78869041,3211384.78869041,3211384.78869041,sao_paulo_2010
fine,hrs_d_pm10_it2,0,0,0,0,0,0,0,3211384.78869041,3211384.78869041,3211384.78869041,sao_paulo_2010
fine,avg_pm10,0,0,0,0,0,0,0,3211384.78869041,3211384.78869041,3211384.78869041,sao_paulo_2010
fine,hrs_d_pm25_it1,0,0,0,0,3.5527136788005e-15,-3.5527136788005e-15,0,2856619.31561217,2856619.31561217,2856619.31561217,sao_paulo_2010
fine,hrs_d_pm25_it2,0,0,0,0,0,0,0,2856619.31561217,2856619.31561217,2856619.31561217,sao_paulo_2010
fine,avg_pm25,0,0,0,0,3.5527136788005e-15,-3.5527136788005e-15,0,2856619.31561217,2856619.31561217,2856619.31561217,sao_paulo_2010
municipio,hrs_d_pm10_it1,-2.17441494308469,0.904363515053577,-0.129148971869074,-2.94962948626919,-0.27883317883825,0.149684206969176,0,3211384.78869041,1134538.04332875,746182.288595823,sao_paulo_2010
municipio,hrs_d_pm10_it2,-20.1481205433719,3.98378244063858,0.0137302308240663,-24.1456332148346,-0.859364069204787,0.873094300028853,0,3211384.78869041,1134538.04332875,746182.288595823,sao_paulo_2010
municipio,avg_pm10,-0.638173073886925,0.194232264809131,0.0252386603750843,-0.85764399907114,0.00181965295332631,0.023419007421758,0,3211384.78869041,1134538.04332875,746182.288595823,sao_paulo_2010
municipio,hrs_d_pm25_it1,0.0357612239859026,3.05951084009253,2.09291071491646,-5.11666033102308,2.21297556084445,-0.120064845927992,0,2856619.31561217,848104.879456181,498064.977619388,sao_paulo_2010
municipio,hrs_d_pm25_it2,18.1262578721129,24.5768861126159,14.9328501484586,-21.3834783889616,15.1660043626332,-0.233154214174618,0,2856619.31561217,848104.879456181,498064.977619388,sao_paulo_2010
municipio,avg_pm25,0.232136999517264,0.46408739937273,0.320218708758858,-0.552169108614324,0.334980709501,-0.0147620007421416,0,2856619.31561217,848104.879456181,498064.977619388,sao_paulo_2010
