level,outcome,baseline_variance,retained_variance,within_variance,share_retained,aggregation_population,city_id
municipio,hrs_d_pm10_it1,6378.19148124241,5420.22792735614,957.963553886287,0.849806397831808,4344885,bogota_2018
municipio,hrs_d_pm10_it2,37081.0106638309,23301.7374988567,13779.2731649745,0.628400819764746,4344885,bogota_2018
municipio,avg_pm10,112.43382581951,30.2341246407546,82.1997011787542,0.268905949080568,4344885,bogota_2018
municipio,hrs_d_pm25_it1,652.056302704858,304.832486965138,347.223815739724,0.467494119297112,4341174,bogota_2018
municipio,hrs_d_pm25_it2,17071.5193951222,4512.32554465685,12559.1938504654,0.264318918557779,4341174,bogota_2018
municipio,avg_pm25,18.330724379516,2.85362094620184,15.4771034333145,0.155674205073459,4341174,bogota_2018
fine,hrs_d_pm10_it1,22208.8139795148,22208.8139795148,0,1,1429271,santiago_2017
fine,hrs_d_pm10_it2,91149.143841786,91149.143841786,0,1,1429271,santiago_2017
fine,avg_pm10,27.2690458908687,27.2690458908687,2.94977375682192e-30,1,1429271,santiago_2017
fine,hrs_d_pm25_it1,18598.759105122,18598.759105122,0,1,1429271,santiago_2017
fine,hrs_d_pm25_it2,62377.8756790303,62377.8756790303,0,1,1429271,santiago_2017
fine,avg_pm25,4.97549431346052,4.97549431346052,1.49381153490943e-30,1,1429271,santiago_2017
distrito,hrs_d_pm10_it1,22208.8139795148,22137.1500784765,71.6639010383218,0.996773177482399,1429271,santiago_2017
distrito,hrs_d_pm10_it2,91149.143841786,90871.5001435637,277.643698222383,0.996953962631791,1429271,santiago_2017
distrito,avg_pm10,27.2690458908687,27.1713557820733,0.0976901087953991,0.996417545770162,1429271,santiago_2017
distrito,hrs_d_pm25_it1,18598.759105122,18553.2236846966,45.5354204254249,0.997551695778839,1429271,santiago_2017
distrito,hrs_d_pm25_it2,62377.8756790303,62124.5454748646,253.330204165679,0.995938781155851,1429271,santiago_2017
distrito,avg_pm25,4.97549431346052,4.96294763564516,0.0125466778153677,0.99747830526478,1429271,santiago_2017
comuna,hrs_d_pm10_it1,22208.8139795148,21142.0575826904,1066.75639682437,0.951966980415598,1429271,santiago_2017
comuna,hrs_d_pm10_it2,91149.143841786,88191.9818303697,2957.16201141635,0.967556886584154,1429271,santiago_2017
comuna,avg_pm10,27.2690458908687,26.3367175560446,0.932328334824044,0.965810012621812,1429271,santiago_2017
comuna,hrs_d_pm25_it1,18598.759105122,17770.7594313531,827.999673768883,0.955480918426388,1429271,santiago_2017
comuna,hrs_d_pm25_it2,62377.8756790303,57235.814268236,5142.06141079432,0.917565942173902,1429271,santiago_2017
comuna,avg_pm25,4.97549431346052,4.52900401978411,0.44649029367641,0.910262123610815,1429271,santiago_2017
fine,hrs_d_pm10_it1,38.0556782699071,38.0556782699071,1.36015737616454e-31,1,3829397.35116674,sao_paulo_2010
fine,hrs_d_pm10_it2,2778.24793108332,2778.24793108332,1.39241216692589e-29,1,3829397.35116674,sao_paulo_2010
fine,avg_pm10,6.67628949971418,6.67628949971418,1.7858840740647e-30,1,3829397.35116674,sao_paulo_2010
fine,hrs_d_pm25_it1,295.232845998929,295.232845998929,2.20113806717761e-30,1,3415763.42913653,sao_paulo_2010
fine,hrs_d_pm25_it2,13784.3394496655,13784.3394496655,7.09864239302882e-29,1,3415763.42913653,sao_paulo_2010
fine,avg_pm25,6.34842602236384,6.34842602236384,6.08205238003197e-31,1,3415763.42913653,sao_paulo_2010
municipio,hrs_d_pm10_it1,38.0556782699071,18.0992342095911,19.956444060316,0.475598781375636,3829397.35116674,sao_paulo_2010
municipio,hrs_d_pm10_it2,2778.24793108332,1087.4492547963,1690.79867628702,0.39141548262479,3829397.35116674,sao_paulo_2010
