Area,Day,Hour,temp_2m,temp_850hPa,inversion,Inversion_dummy
Santiago,2023-01-07,4,287.09155,290.7041,3.6125488,1
Santiago,2023-01-07,5,286.65717,290.67352,4.0163574,1
Santiago,2023-01-07,6,286.2757,290.4887,4.2130127,1
Santiago,2023-01-07,7,285.73297,290.4095,4.6765137,1
Santiago,2023-01-07,8,285.48676,290.3626,4.8758545,1
Santiago,2023-01-07,9,284.95093,290.21005,5.2591248,1
Santiago,2023-01-07,10,285.17303,290.38397,5.2109375,1
Santiago,2023-01-07,11,286.44794,290.58398,4.1360474,1
Santiago,2023-01-07,12,288.28156,290.46417,2.1826172,1
Santiago,2023-01-07,13,289.5313,291.07547,1.5441589,1
Santiago,2023-01-07,14,290.67926,291.67456,0.9953003,1
Santiago,2023-01-07,15,292.2801,291.8421,-0.43798828,0
Santiago,2023-01-07,16,293.20898,291.5902,-1.6187744,0
Santiago,2023-01-07,17,293.98413,291.40625,-2.5778809,0
Santiago,2023-01-07,18,294.31067,291.5846,-2.7260742,0
Santiago,2023-01-07,19,295.28796,291.33344,-3.9545288,0
Santiago,2023-01-07,20,294.6593,291.14838,-3.5109253,0
Santiago,2023-01-07,21,293.5653,291.1986,-2.3666992,0
Santiago,2023-01-07,22,293.2884,290.92963,-2.3587646,0
Santiago,2023-01-07,23,292.10077,290.53503,-1.5657349,0
Santiago,2023-01-08,0,290.30255,290.3681,0.06555176,1
Santiago,2023-01-08,1,289.32245,290.76877,1.4463196,1
Santiago,2023-01-08,2,288.84558,291.0481,2.2025146,1
Santiago,2023-01-08,3,287.81042,291.30475,3.4943237,1
Santiago,2023-01-08,4,287.2837,291.52197,4.2382812,1
Santiago,2023-01-08,5,286.50226,291.49237,4.9901123,1
Santiago,2023-01-08,6,286.08356,291.4166,5.3330383,1
Santiago,2023-01-08,7,285.72534,291.28766,5.562317,1
Santiago,2023-01-08,8,284.92096,291.115,6.194031,1
Santiago,2023-01-08,9,284.6319,291.11975,6.487854,1
Santiago,2023-01-08,10,284.83667,291.45456,6.6178894,1
Santiago,2023-01-08,11,286.75037,291.82642,5.07605,1
Santiago,2023-01-08,12,289.47223,292.09494,2.6227112,1
Santiago,2023-01-08,13,291.41113,292.47653,1.0653992,1
Santiago,2023-01-08,14,293.05237,292.5575,-0.49487305,0
Santiago,2023-01-08,15,294.7273,292.35654,-2.370758,0
Santiago,2023-01-08,16,295.5857,292.24518,-3.3405151,0
Santiago,2023-01-08,17,295.52637,292.44202,-3.0843506,0
Santiago,2023-01-08,18,296.3178,292.08252,-4.2352905,0
Santiago,2023-01-08,19,295.4419,291.62082,-3.8210754,0
Santiago,2023-01-08,20,295.00952,291.9481,-3.061432,0
Santiago,2023-01-08,21,293.76843,291.53632,-2.2321167,0
Santiago,2023-01-08,22,293.2705,291.49084,-1.7796631,0
Santiago,2023-01-08,23,291.76685,290.94757,-0.8192749,0
Santiago,2023-01-09,0,289.69476,290.1263,0.43154907,1
Santiago,2023-01-09,1,288.87384,289.93228,1.0584412,1
Santiago,2023-01-09,2,288.00793,290.15704,2.149109,1
Santiago,2023-01-09,3,286.7425,290.19214,3.449646,1
Santiago,2023-01-09,4,286.1809,290.11652,3.935608,1
Santiago,2023-01-09,5,285.6432,290.0043,4.3611145,1
Santiago,2023-01-09,6,285.28967,289.85925,4.56958,1
Santiago,2023-01-09,7,284.73846,289.7705,5.0320435,1
Santiago,2023-01-09,8,284.39954,289.9357,5.5361633,1
Santiago,2023-01-09,9,284.26526,290.0899,5.824646,1
Santiago,2023-01-09,10,284.6377,289.65515,5.017456,1
Santiago,2023-01-09,11,286.0036,290.31323,4.3096313,1
Santiago,2023-01-09,12,287.84387,291.00104,3.1571655,1
Santiago,2023-01-09,13,289.2209,291.1648,1.9439087,1
Santiago,2023-01-09,14,290.6225,291.0387,0.41619873,1
Santiago,2023-01-09,15,291.99744,290.91827,-1.0791626,0
Santiago,2023-01-09,16,293.03308,290.91663,-2.116455,0
Santiago,2023-01-09,17,294.07434,290.99628,-3.078064,0
Santiago,2023-01-09,18,293.4687,290.83057,-2.6381226,0
Santiago,2023-01-09,19,293.76862,290.36426,-3.404358,0
Santiago,2023-01-09,20,293.00336,289.71112,-3.2922363,0
Santiago,2023-01-09,21,292.04877,289.23724,-2.8115234,0
Santiago,2023-01-09,22,290.6001,289.03412,-1.565979,0
Santiago,2023-01-09,23,289.08527,288.61383,-0.47143555,0
Santiago,2023-01-10,0,287.93073,288.14325,0.21252441,1
Santiago,2023-01-10,1,287.41455,287.88208,0.4675293,1
Santiago,2023-01-10,2,287.3971,287.8557,0.45861816,1
Santiago,2023-01-10,3,286.0031,287.9448,1.9416809,1
Santiago,2023-01-10,4,285.69208,288.09534,2.4032593,1
Santiago,2023-01-10,5,285.44586,288.13245,2.6865845,1
Santiago,2023-01-10,6,284.5221,288.2708,3.7487183,1
Santiago,2023-01-10,7,284.37854,288.52652,4.1479797,1
Santiago,2023-01-10,8,284.42993,288.82794,4.3980103,1
Santiago,2023-01-10,9,284.4159,289.09235,4.6764526,1
Santiago,2023-01-10,10,284.64734,288.6948,4.047455,1
Santiago,2023-01-10,11,285.38452,288.30005,2.9155273,1
Santiago,2023-01-10,12,287.28644,288.03516,0.74871826,1
Santiago,2023-01-10,13,288.33185,288.58765,0.25579834,1
Santiago,2023-01-10,14,289.2351,288.88367,-0.35144043,0
Santiago,2023-01-10,15,290.71832,289.23077,-1.4875488,0
Santiago,2023-01-10,16,291.37195,289.28525,-2.0867004,0
Santiago,2023-01-10,17,291.82153,289.39136,-2.4301758,0
Santiago,2023-01-10,18,292.50012,289.57227,-2.9278564,0
Santiago,2023-01-10,19,293.36133,289.7855,-3.5758362,0
Santiago,2023-01-10,20,293.5033,289.9969,-3.5064087,0
Santiago,2023-01-10,21,292.86536,290.0812,-2.7841492,0
Santiago,2023-01-10,22,292.70276,289.82803,-2.8747253,0
Santiago,2023-01-10,23,291.99457,289.86615,-2.128418,0
Santiago,2023-01-11,0,290.06165,289.69476,-0.36688232,0
Santiago,2023-01-11,1,289.14673,289.65277,0.5060425,1
Santiago,2023-01-11,2,288.58228,289.70123,1.1189575,1
Santiago,2023-01-11,3,287.11383,289.557,2.4431763,1
Santiago,2023-01-11,4,286.47156,289.38458,2.913025,1
Santiago,2023-01-11,5,285.23657,289.2526,4.0160217,1
Santiago,2023-01-11,6,284.57965,289.1639,4.584259,1
Santiago,2023-01-11,7,284.00763,289.25323,5.2456055,1
Santiago,2023-01-11,8,283.60852,289.4609,5.8523865,1
Santiago,2023-01-11,9,283.07324,289.56787,6.494629,1
Santiago,2023-01-11,10,283.12958,289.35843,6.2288513,1
Santiago,2023-01-11,11,285.1053,289.6806,4.5753174,1
Santiago,2023-01-11,12,288.33545,289.9538,1.6183472,1
Santiago,2023-01-11,13,289.98438,290.37683,0.39245605,1
Santiago,2023-01-11,14,291.3399,290.71014,-0.62976074,0
Santiago,2023-01-11,15,293.01062,291.02972,-1.980896,0
Santiago,2023-01-11,16,294.18286,291.56607,-2.6167908,0
Santiago,2023-01-11,17,295.2898,292.15173,-3.1380615,0
Santiago,2023-01-11,18,296.0874,292.44135,-3.6460571,0
Santiago,2023-01-11,19,295.16272,292.51364,-2.6490784,0
Santiago,2023-01-11,20,294.20032,291.62827,-2.572052,0
Santiago,2023-01-11,21,293.65222,291.65375,-1.9984741,0
Santiago,2023-01-11,22,292.13428,290.9049,-1.2293701,0
Santiago,2023-01-11,23,290.8145,290.13968,-0.6748352,0
Santiago,2023-01-12,0,289.53754,289.50208,-0.035461426,0
Santiago,2023-01-12,1,289.0794,289.09955,0.020141602,1
Santiago,2023-01-12,2,288.95135,288.96277,0.011413574,1
Santiago,2023-01-12,3,287.65387,288.78754,1.133667,1
Santiago,2023-01-12,4,286.75513,288.6673,1.9121704,1
Santiago,2023-01-12,5,286.02362,288.6078,2.5841675,1
Santiago,2023-01-12,6,285.26953,288.4566,3.1870728,1
Santiago,2023-01-12,7,285.0573,288.24164,3.1843262,1
Santiago,2023-01-12,8,284.1601,288.20465,4.0445557,1
Santiago,2023-01-12,9,283.9345,288.26,4.3255005,1
Santiago,2023-01-12,10,284.42853,287.8504,3.421875,1
Santiago,2023-01-12,11,284.92645,287.84967,2.9232178,1
Santiago,2023-01-12,12,286.47473,287.99524,1.5205078,1
Santiago,2023-01-12,13,287.7697,288.11124,0.34152222,1
Santiago,2023-01-12,14,289.3731,288.32568,-1.0474243,0
Santiago,2023-01-12,15,290.8081,288.88483,-1.9232788,0
Santiago,2023-01-12,16,291.86536,289.25516,-2.610199,0
Santiago,2023-01-12,17,292.38025,289.20474,-3.1755066,0
Santiago,2023-01-12,18,292.26953,289.11978,-3.1497498,0
Santiago,2023-01-12,19,293.05383,289.41302,-3.640808,0
Santiago,2023-01-12,20,293.3745,289.7069,-3.6676025,0
Santiago,2023-01-12,21,292.91895,289.67505,-3.2438965,0
Santiago,2023-01-12,22,291.312,289.0229,-2.2891235,0
Santiago,2023-01-12,23,289.9497,288.66846,-1.28125,0
Santiago,2023-01-13,0,287.9635,288.04892,0.0854187,1
Santiago,2023-01-13,1,286.91656,287.6186,0.70202637,1
Santiago,2023-01-13,2,285.0575,287.63837,2.5808716,1
Santiago,2023-01-13,3,283.8736,287.79492,3.9213257,1
Santiago,2023-01-13,4,282.79724,287.8825,5.085266,1
Santiago,2023-01-13,5,281.6162,287.92188,6.305664,1
Santiago,2023-01-13,6,280.9519,288.00552,7.0536194,1
Santiago,2023-01-13,7,280.2735,288.08557,7.8120728,1
Santiago,2023-01-13,8,279.9762,288.18182,8.205627,1
Santiago,2023-01-13,9,279.6396,288.2751,8.635498,1
Santiago,2023-01-13,10,279.59833,288.18842,8.590088,1
Santiago,2023-01-13,11,281.49683,288.4873,6.9904785,1
Santiago,2023-01-13,12,285.50793,288.69894,3.1910095,1
Santiago,2023-01-13,13,287.61926,289.10275,1.48349,1
Santiago,2023-01-13,14,289.09314,289.39285,0.29971313,1
Santiago,2023-01-13,15,291.06885,289.61063,-1.4582214,0
Santiago,2023-01-13,16,292.67194,289.9638,-2.70813,0
Santiago,2023-01-13,17,293.62646,290.50925,-3.117218,0
Santiago,2023-01-13,18,294.17847,291.013,-3.1654663,0
Santiago,2023-01-13,19,294.72473,291.2818,-3.4429321,0
Santiago,2023-01-13,20,294.80103,291.28296,-3.5180664,0
Santiago,2023-01-13,21,294.20667,291.07672,-3.1299438,0
Santiago,2023-01-13,22,293.21826,290.75833,-2.4599304,0
Santiago,2023-01-13,23,291.4674,290.17438,-1.2930298,0
Santiago,2023-01-14,0,289.44434,289.63382,0.18948364,1
Santiago,2023-01-14,1,288.5808,289.44556,0.8647461,1
Santiago,2023-01-14,2,287.7923,289.5113,1.7189941,1
Santiago,2023-01-14,3,286.68634,289.4288,2.7424622,1
Santiago,2023-01-14,4,285.94824,289.2772,3.328949,1
Santiago,2023-01-14,5,285.11572,289.10394,3.9882202,1
Santiago,2023-01-14,6,284.27356,288.74335,4.4697876,1
Santiago,2023-01-14,7,283.7956,288.24417,4.448578,1
Santiago,2023-01-14,8,282.9035,287.97977,5.0762634,1
Santiago,2023-01-14,9,282.47455,287.9458,5.4712524,1
Santiago,2023-01-14,10,282.24872,288.103,5.8542786,1
Santiago,2023-01-14,11,283.76117,288.32764,4.5664673,1
Santiago,2023-01-14,12,286.37115,288.38007,2.0089111,1
Santiago,2023-01-14,13,288.1001,288.82092,0.7208252,1
Santiago,2023-01-14,14,289.55164,289.2717,-0.27993774,0
Santiago,2023-01-14,15,291.00714,289.44836,-1.5587769,0
Santiago,2023-01-14,16,292.2707,289.73825,-2.5324402,0
Santiago,2023-01-14,17,292.8225,289.84625,-2.9762573,0
Santiago,2023-01-14,18,293.70184,289.97232,-3.7295227,0
Santiago,2023-01-14,19,294.37152,290.33008,-4.041443,0
Santiago,2023-01-14,20,294.5108,290.37817,-4.1326294,0
Santiago,2023-01-14,21,293.44287,290.23642,-3.2064514,0
Santiago,2023-01-14,22,291.9442,290.14093,-1.8032837,0
Santiago,2023-01-14,23,290.33508,289.68005,-0.6550293,0
Santiago,2023-01-15,0,287.9217,288.9513,1.029602,1
Santiago,2023-01-15,1,286.5517,288.6543,2.1026,1
Santiago,2023-01-15,2,285.9262,288.79428,2.8680725,1
Santiago,2023-01-15,3,285.26373,288.87866,3.6149292,1
Santiago,2023-01-15,4,284.52252,288.92233,4.399811,1
Santiago,2023-01-15,5,283.64502,288.89777,5.2527466,1
Santiago,2023-01-15,6,282.8482,288.83984,5.991638,1
Santiago,2023-01-15,7,282.6535,288.88602,6.2325134,1
Santiago,2023-01-15,8,282.12323,288.99493,6.871704,1
Santiago,2023-01-15,9,281.58667,289.13843,7.551758,1
Santiago,2023-01-15,10,282.04694,289.18158,7.1346436,1
Santiago,2023-01-15,11,283.90796,289.3763,5.4683533,1
Santiago,2023-01-15,12,286.67188,289.22763,2.5557556,1
Santiago,2023-01-15,13,288.49036,289.42938,0.9390259,1
Santiago,2023-01-15,14,290.261,289.72168,-0.53930664,0
Santiago,2023-01-15,15,291.8415,290.015,-1.826477,0
Santiago,2023-01-15,16,293.357,290.55505,-2.801941,0
Santiago,2023-01-15,17,294.6958,291.32144,-3.3743591,0
Santiago,2023-01-15,18,295.30127,291.85748,-3.4437866,0
Santiago,2023-01-15,19,295.26233,292.27747,-2.9848633,0
Santiago,2023-01-15,20,295.14795,291.99707,-3.150879,0
Santiago,2023-01-15,21,294.5869,291.93875,-2.6481628,0
